"Zeit";"Position";"Signalgeschwindigkeit"
8,126649;0,5711;1,47174
8,12824;0,5736082;1,576767
8,129795;0,5759942;1,533736
8,131373;0,5783277;1,478597
8,134436;0,580695;0,7729765
8,136101;0,5852889;2,75927
8,137708;0,5877863;1,55435
8,139286;0,5901964;1,5268
8,14093;0,5925641;1,440491
8,142742;0,5950297;1,360677
8,144334;0,5977476;1,706733
8,145919;0,6001364;1,507589
8,147475;0,6025131;1,526582
8,149114;0,6048485;1,425745
8,150708;0,6073055;1,541323
8,154962;0,6096967;0,5620968
8,156731;0,6160777;3,606905
8,158388;0,6187313;1,60158
8,15996;0,6212167;1,580801
8,161618;0,623575;1,42213
8,163365;0,6260624;1,42358
8,164992;0,6286833;1,611099
8,166639;0,6311235;1,481611
8,168306;0,633594;1,481911
8,170045;0,6360947;1,438728
8,171674;0,6387019;1,600274
8,173203;0,6411456;1,597771
8,174778;0,6434399;1,456939
8,176375;0,645802;1,478976
8,177916;0,6481976;1,554998
8,179451;0,6505085;1,504768
8,181016;0,652812;1,47257
8,182719;0,6551585;1,377756
8,18436;0,6577131;1,557432
8,185936;0,6601735;1,560586
8,187546;0,6625384;1,469048
8,189095;0,6649531;1,557572
8,190635;0,6672786;1,511226
8,192193;0,6695868;1,480653
8,193727;0,6719251;1,524447
8,195311;0,674226;1,453572
8,197038;0,6766003;1,374523
8,198573;0,6791914;1,687886
8,200153;0,6814941;1,456449
8,201952;0,6838655;1,319033
8,203508;0,6865624;1,732206
8,205058;0,6888978;1,507468
8,209241;0,6912216;0,5555092
8,211042;0,6974964;3,483882
8,212738;0,7001981;1,593418
8,21441;0,7027413;1,521277
8,216016;0,705249;1,561351
8,217819;0,7076582;1,335677
8,219408;0,7103637;1,703119
8,221082;0,7127466;1,423461
8,222936;0,7152576;1,354455
8,224607;0,7180385;1,663489
8,226218;0,7205461;1,556915
8,22777;0,722962;1,556533
8,229343;0,7252901;1,480169
8,230887;0,7276495;1,527767
8,23245;0,7299659;1,481785
8,234065;0,7323109;1,452621
8,235843;0,7347323;1,361812
8,237558;0,7373995;1,555087
8,239171;0,7399721;1,595149
8,240732;0,7423913;1,549263
8,242441;0,7447335;1,370844
8,243993;0,7472964;1,651128
8,24556;0,7496247;1,486007
8,247252;0,7519749;1,389589
8,248852;0,7545118;1,584704
8,250509;0,7569132;1,448867
