Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
0,9382774;0;1,75; 0; 0; 1,75; 0
0,9397441;0;1,75; 0; 0; 1,75; 0
0,941358;0;1,75; 0; 0; 1,75; 0
0,9430068;0;1,75; 0; 0; 1,75; 0
0,9444029;0;1,75; 0; 0; 1,75; 0
0,9458054;0;1,75; 0; 0; 1,75; 0
0,947235;0;1,75; 0; 0; 1,75; 0
0,9486278;0;1,75; 0; 0; 1,75; 0
0,9500619;0;1,75; 0; 0; 1,75; 0
0,9514582;0;1,75; 0; 0; 1,75; 0
0,9528248;0;1,75; 0; 0; 1,75; 0
0,9542264;0;1,75; 0; 0; 1,75; 0
0,9569114;0;1,75; 0; 0; 1,75; 0
0,9586818;0;1,75; 0; 0; 1,75; 0
0,9603928;0;1,75; 0; 0; 1,75; 0
0,9622391;0;1,75; 0; 0; 1,75; 0
0,9641783;0;1,75; 0; 0; 1,75; 0
0,9658561;0;1,75; 0; 0; 1,75; 0
0,9675581;0;1,75; 0; 0; 1,75; 0
0,9693344;0;1,75; 0; 0; 1,75; 0
0,9712006;0;1,75; 0; 0; 1,75; 0
0,9735692;0;1,75; 0; 0; 1,75; 0
0,9752628;0;1,75; 0; 0; 1,75; 0
0,9768698;0;1,75; 0; 0; 1,75; 0
0,9784964;0;1,75; 0; 0; 1,75; 0
0,9803392;0;1,75; 0; 0; 1,75; 0
0,9821745;0;1,75; 0; 0; 1,75; 0
0,9838541;0;1,75; 0; 0; 1,75; 0
0,9854175;0;1,75; 0; 0; 1,75; 0
0,9872324;0;1,75; 0; 0; 1,75; 0
0,9888672;0;1,75; 0; 0; 1,75; 0
0,9903901;0;1,75; 0; 0; 1,75; 0
0,9918537;0;1,75; 0; 0; 1,75; 0
0,9932916;0;1,75; 0; 0; 1,75; 0
0,9947144;0;1,75; 0; 0; 1,75; 0
0,9963353;0;1,75; 0; 0; 1,75; 0
0,9979336;0;1,75; 0; 0; 1,75; 0
0,9993541;0;1,75; 0; 0; 1,75; 0
1,000813;0;1,75; 0; 0; 1,75; 0
1,002487;0;1,75; 0; 0; 1,75; 0
1,00439;0;1,75; 0; 0; 1,75; 0
1,006014;0;1,75; 0; 0; 1,75; 0
1,007503;0;1,75; 0; 0; 1,75; 0
1,008886;0;1,75; 0; 0; 1,75; 0
1,010281;0;1,75; 0; 0; 1,75; 0
1,011775;0;1,75; 0; 0; 1,75; 0
1,01578;0;1,75; 0; 0; 1,75; 0
1,017449;0;1,75; 0; 0; 1,75; 0
1,018903;0;1,75; 0; 0; 1,75; 0
1,020315;0;1,75; 0; 0; 1,75; 0
1,02194;0;1,75; 0; 0; 1,75; 0
1,023307;0;1,75; 0; 0; 1,75; 0
1,024685;0;1,75; 0; 0; 1,75; 0
1,026051;0;1,75; 0; 0; 1,75; 0
1,027449;0;1,75; 0; 0; 1,75; 0
1,028956;0;1,75; 0; 0; 1,75; 0
1,030441;0;1,75; 0; 0; 1,75; 0
1,031933;0;1,75; 0; 0; 1,75; 0
1,03349;0;1,75; 0; 0; 1,75; 0
1,035032;0;1,75; 0; 0; 1,75; 0
1,036466;0;1,75; 0; 0; 1,75; 0
1,037917;0;1,75; 0; 0; 1,75; 0
1,039303;0;1,75; 0; 0; 1,75; 0
1,040686;0;1,75; 0; 0; 1,75; 0
1,042277;0;1,75; 0; 0; 1,75; 0
1,043652;0;1,75; 0; 0; 1,75; 0
1,045067;0;1,75; 0; 0; 1,75; 0
1,046537;0;1,75; 0; 0; 1,75; 0
1,047973;0;1,75; 0; 0; 1,75; 0
1,049427;0;1,75; 0; 0; 1,75; 0
1,050857;0;1,75; 0; 0; 1,75; 0
1,05248;0;1,75; 0; 0; 1,75; 0
1,053973;0;1,75; 0; 0; 1,75; 0
1,055367;0;1,75; 0; 0; 1,75; 0
1,056757;0;1,75; 0; 0; 1,75; 0
1,058133;0;1,75; 0; 0; 1,75; 0
1,059527;0;1,75; 0; 0; 1,75; 0
1,060884;0;1,75; 0; 0; 1,75; 0
1,062631;0;1,75; 0; 0; 1,75; 0
1,064225;0;1,75; 0; 0; 1,75; 0
1,065652;0;1,75; 0; 0; 1,75; 0
1,067057;0;1,75; 0; 0; 1,75; 0
1,068461;0;1,75; 0; 0; 1,75; 0
1,069849;0;1,75; 0; 0; 1,75; 0
1,071209;0;1,75; 0; 0; 1,75; 0
1,072551;0;1,75; 0; 0; 1,75; 0
1,073985;0;1,75; 0; 0; 1,75; 0
1,075397;0;1,75; 0; 0; 1,75; 0
1,076815;0;1,75; 0; 0; 1,75; 0
1,078247;0;1,75; 0; 0; 1,75; 0
1,079712;0;1,75; 0; 0; 1,75; 0
1,081105;0;1,75; 0; 0; 1,75; 0
1,082678;0;1,75; 0; 0; 1,75; 0
1,084062;0;1,75; 0; 0; 1,75; 0
1,08545;0;1,75; 0; 0; 1,75; 0
1,086957;0;1,75; 0; 0; 1,75; 0
1,088492;0;1,75; 0; 0; 1,75; 0
1,089914;0;1,75; 0; 0; 1,75; 0
1,091313;0;1,75; 0; 0; 1,75; 0
1,092733;0;1,75; 0; 0; 1,75; 0
1,094121;0;1,75; 0; 0; 1,75; 0
1,095559;0;1,75; 0; 0; 1,75; 0
1,09715;0;1,75; 0; 0; 1,75; 0
