Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
9,913453;0;1,75; 10,70386; 0; 1,75; 0,7038602
9,915319;0;1,75; 10,70655; 0; 1,75; 0,7065493
9,91704;0;1,75; 10,70935; 0; 1,75; 0,7093483
9,918778;0;1,75; 10,71193; 0; 1,75; 0,7119294
9,920513;0;1,75; 10,71454; 0; 1,75; 0,7145369
9,922375;0;1,75; 10,71714; 0; 1,75; 0,7171395
9,924099;0;1,75; 10,71993; 0; 1,75; 0,7199315
9,925848;0;1,75; 10,72252; 0; 1,75; 0,7225181
9,927773;0;1,75; 10,72514; 0; 1,75; 0,7251418
9,929581;0;1,75; 10,72803; 0; 1,75; 0,7280297
9,931498;0;1,75; 10,73074; 0; 1,75; 0,7307407
9,933178;0;1,75; 10,73362; 0; 1,75; 0,7336162
9,934907;0;1,75; 10,73614; 0; 1,75; 0,7361365
9,936707;0;1,75; 10,73873; 0; 1,75; 0,7387307
9,938384;0;1,75; 10,74143; 0; 1,75; 0,7414292
9,940144;0;1,75; 10,74395; 0; 1,75; 0,7439461
9,941992;0;1,75; 10,74658; 0; 1,75; 0,746585
9,943607;0;1,75; 10,74936; 0; 1,75; 0,7493567
9,945313;0;1,75; 10,75178; 0; 1,75; 0,7517801
9,947261;0;1,75; 10,75434; 0; 1,75; 0,7543382
9,948923;0;1,75; 10,75726; 0; 1,75; 0,7572613
9,950688;0;1,75; 10,75975; 0; 1,75; 0,7597537
9,952411;0;1,75; 10,7624; 0; 1,75; 0,7624024
9,954167;0;1,75; 10,76499; 0; 1,75; 0,7649854
9,955935;0;1,75; 10,76762; 0; 1,75; 0,7676215
9,958246;0;1,75; 10,77027; 0; 1,75; 0,7702718
9,960233;0;1,75; 10,77374; 0; 1,75; 0,7737395
9,962048;0;1,75; 10,77672; 0; 1,75; 0,776719
9,964031;0;1,75; 10,77944; 0; 1,75; 0,7794415
9,965793;0;1,75; 10,78242; 0; 1,75; 0,7824172
9,967524;0;1,75; 10,78506; 0; 1,75; 0,7850585
9,970653;0;1,75; 10,78765; 0; 1,75; 0,787655
9,972467;0;1,75; 10,79235; 0; 1,75; 0,7923486
9,97411;0;1,75; 11,79507; 0; 1,75; 0,7950712
9,9758;0;1,75; 11,79753; 0; 1,75; 0,7975336
9,977623;0;1,75; 11,80007; 0; 1,75; 0,8000694
9,979502;0;1,75; 11,8028; 0; 1,75; 0,8028041
9,981367;0;1,75; 11,80562; 0; 1,75; 0,8056227
9,983202;0;1,75; 11,80842; 0; 1,75; 0,8084205
9,989677;0;1,75; 11,81117; 0; 1,75; 0,8111728
9,991671;0;1,75; 11,82089; 0; 1,75; 0,820886
9,99337;0;1,75; 12,82388; 0; 1,75; 0,8238751
9,994978;0;1,75; 12,82642; 0; 1,75; 0,8264245
9,996621;0;1,75; 12,82884; 0; 1,75; 0,828837
9,998478;0;1,75; 12,8313; 0; 1,75; 0,8313019
10,0001;0;1,75; 12,83409; 0; 1,75; 0,8340859
10,00188;0;1,75; 12,83652; 0; 1,75; 0,8365151
10,0036;0;1,75; 12,83919; 0; 1,75; 0,83919
10,00537;0;1,75; 12,84177; 0; 1,75; 0,8417733
10,00711;0;1,75; 12,84442; 0; 1,75; 0,8444204
10,0088;0;1,75; 12,84704; 0; 1,75; 0,8470419
10,0105;0;1,75; 12,84956; 0; 1,75; 0,8495646
10,01213;0;1,75; 12,85212; 0; 1,75; 0,8521179
10,01371;0;1,75; 12,85457; 0; 1,75; 0,8545665
10,01536;0;1,75; 12,85694; 0; 1,75; 0,8569382
10,01714;0;1,75; 12,85941; 0; 1,75; 0,8594118
10,01923;0;1,75; 12,86208; 0; 1,75; 0,8620766
10,02462;0;1,75; 12,86522; 0; 1,75; 0,8652171
10,0266;0;1,75; 12,87329; 0; 1,75; 0,8732926
10,02834;0;1,75; 13,87626; 0; 1,75; 0,876264
10,03007;0;1,75; 13,87888; 0; 1,75; 0,878876
10,03193;0;1,75; 13,88147; 0; 1,75; 0,8814693
10,03357;0;1,75; 13,88427; 0; 1,75; 0,8842662
10,03544;0;1,75; 13,88672; 0; 1,75; 0,8867189
10,03717;0;1,75; 13,88953; 0; 1,75; 0,889535
10,03882;0;1,75; 13,89212; 0; 1,75; 0,8921204
10,04055;0;1,75; 13,8946; 0; 1,75; 0,8945999
10,0424;0;1,75; 13,89719; 0; 1,75; 0,8971919
10,04408;0;1,75; 13,89997; 0; 1,75; 0,8999661
10,04586;0;1,75; 13,90249; 0; 1,75; 0,9024948
10,04779;0;1,75; 13,90516; 0; 1,75; 0,9051555
10,04947;0;1,75; 13,90805; 0; 1,75; 0,9080511
10,05173;0;1,75; 13,91057; 0; 1,75; 0,9105716
10,05372;0;1,75; 13,91396; 0; 1,75; 0,9139634
10,05546;0;1,75; 13,91695; 0; 1,75; 0,9169495
10,05723;0;1,75; 13,91956; 0; 1,75; 0,9195622
10,05894;0;1,75; 13,92222; 0; 1,75; 0,9222214
10,06063;0;1,75; 13,92477; 0; 1,75; 0,9247738
10,06264;0;1,75; 13,92732; 0; 1,75; 0,927317
10,06452;0;1,75; 13,93033; 0; 1,75; 0,9303257
10,06629;0;1,75; 13,93315; 0; 1,75; 0,9331486
10,06796;0;1,75; 13,9358; 0; 1,75; 0,9357994
10,06963;0;1,75; 13,9383; 0; 1,75; 0,9383052
10,0714;0;1,75; 13,94082; 0; 1,75; 0,9408181
10,073;0;1,75; 13,94347; 0; 1,75; 0,943467
10,07465;0;1,75; 13,94586; 0; 1,75; 0,9458625
10,07642;0;1,75; 13,94834; 0; 1,75; 0,9483396
10,07806;0;1,75; 13,95099; 0; 1,75; 0,9509944
10,07967;0;1,75; 13,95346; 0; 1,75; 0,9534573
10,08158;0;1,75; 13,95588; 0; 1,75; 0,9558752
10,08372;0;1,75; 13,95874; 0; 1,75; 0,9587384
10,08557;0;1,75; 13,96195; 0; 1,75; 0,9619514
10,08735;0;1,75; 13,96472; 0; 1,75; 0,9647192
10,08895;0;1,75; 13,9674; 0; 1,75; 0,9673953
10,09053;0;1,75; 13,9698; 0; 1,75; 0,9697965
10,09208;0;1,75; 13,97216; 0; 1,75; 0,9721642
10,09366;0;1,75; 13,97448; 0; 1,75; 0,9744838
10,0954;0;1,75; 13,97686; 0; 1,75; 0,9768602
10,09711;0;1,75; 13,97946; 0; 1,75; 0,9794644
10,09902;0;1,75; 13,98204; 0; 1,75; 0,9820368
10,10068;0;1,75; 13,9849; 0; 1,75; 0,9849038
10,10268;0;1,75; 13,98738; 0; 1,75; 0,987384
10,10444;0;1,75; 13,99039; 0; 1,75; 0,9903938
10,10621;0;1,75; 13,99303; 0; 1,75; 0,9930301
10,10792;0;1,75; 13,99569; 0; 1,75; 0,9956898
10,10956;0;1,75; 13,99825; 0; 1,75; 0,9982502
10,11116;0;1,75; 14,0007; 0; 1,75; 1,000703
10,11273;0;1,75; 14,00312; 0; 1,75; 1,003116
10,11502;0;1,75; 14,00546; 0; 1,75; 1,005462
10,1171;0;1,75; 14,0089; 0; 1,75; 1,008905
10,11893;0;1,75; 14,01202; 0; 1,75; 1,012025
10,12063;0;1,75; 14,01476; 0; 1,75; 1,01476
10,12253;0;1,75; 14,01731; 0; 1,75; 1,017312
10,12424;0;1,75; 14,02017; 0; 1,75; 1,020172
10,12591;0;1,75; 14,02272; 0; 1,75; 1,022723
10,12761;0;1,75; 14,02524; 0; 1,75; 1,025239
10,12942;0;1,75; 14,02778; 0; 1,75; 1,027779
10,13138;0;1,75; 14,0305; 0; 1,75; 1,030496
10,1331;0;1,75; 14,03344; 0; 1,75; 1,033441
10,13494;0;1,75; 14,03602; 0; 1,75; 1,036024
10,14089;0;1,75; 14,03878; 0; 1,75; 1,038782
10,14279;0;1,75; 14,0477; 0; 1,75; 1,0477
10,14514;0;1,75; 15,05056; 0; 1,75; 1,050557
10,15033;0;1,75; 15,05407; 0; 1,75; 1,054075
10,15199;0;1,75; 15,06186; 0; 1,75; 1,061861
10,15367;0;1,75; 16,06435; 0; 1,75; 1,06435
10,15531;0;1,75; 16,06687; 0; 1,75; 1,066869
10,15695;0;1,75; 16,06934; 0; 1,75; 1,069339
10,15866;0;1,75; 16,0718; 0; 1,75; 1,071799
10,16053;0;1,75; 16,07436; 0; 1,75; 1,074356
10,1623;0;1,75; 16,07716; 0; 1,75; 1,077162
10,16426;0;1,75; 16,07983; 0; 1,75; 1,079828
10,16597;0;1,75; 16,08276; 0; 1,75; 1,082763
10,1676;0;1,75; 16,08533; 0; 1,75; 1,085324
10,17056;0;1,75; 16,08776; 0; 1,75; 1,087763
10,17217;0;1,75; 16,09221; 0; 1,75; 1,092215
10,17379;0;1,75; 17,09463; 0; 1,75; 1,094626
10,17558;0;1,75; 17,09706; 0; 1,75; 1,09706
10,17779;0;1,75; 17,09974; 0; 1,75; 1,099744
10,17966;0;1,75; 17,10305; 0; 1,75; 1,103052
10,18123;0;1,75; 17,10585; 0; 1,75; 1,105854
10,18294;0;1,75; 17,10821; 0; 1,75; 1,108208
10,18449;0;1,75; 17,11078; 0; 1,75; 1,110782
10,18603;0;1,75; 17,1131; 0; 1,75; 1,113103
