Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
1,22229;0;1,75, 0; 0; 1,75; 0
1,223669;0;1,75, 0; 0; 1,75; 0
1,225105;0;1,75, 0; 0; 1,75; 0
1,226444;0;1,75, 0; 0; 1,75; 0
1,227937;0;1,75, 0; 0; 1,75; 0
1,229457;0;1,75, 0; 0; 1,75; 0
1,230944;0;1,75, 0; 0; 1,75; 0
1,232394;0;1,75, 0; 0; 1,75; 0
1,237026;0;1,75, 0; 0; 1,75; 0
1,238695;0;1,75, 0; 0; 1,75; 0
1,240135;0;1,75, 0; 0; 1,75; 0
1,241696;0;1,75, 0; 0; 1,75; 0
1,243126;0;1,75, 0; 0; 1,75; 0
1,244496;0;1,75, 0; 0; 1,75; 0
1,245874;0;1,75, 0; 0; 1,75; 0
1,247239;0;1,75, 0; 0; 1,75; 0
1,248685;0;1,75, 0; 0; 1,75; 0
1,250056;0;1,75, 0; 0; 1,75; 0
1,251506;0;1,75, 0; 0; 1,75; 0
1,253051;0;1,75, 0; 0; 1,75; 0
1,25462;0;1,75, 0; 0; 1,75; 0
1,25608;0;1,75, 0; 0; 1,75; 0
1,257506;0;1,75, 0; 0; 1,75; 0
1,258912;0;1,75, 0; 0; 1,75; 0
1,260364;0;1,75, 0; 0; 1,75; 0
1,26204;0;1,75, 0; 0; 1,75; 0
1,263464;0;1,75, 0; 0; 1,75; 0
1,264815;0;1,75, 0; 0; 1,75; 0
1,266223;0;1,75, 0; 0; 1,75; 0
1,267686;0;1,75, 0; 0; 1,75; 0
1,269061;0;1,75, 0; 0; 1,75; 0
1,270455;0;1,75, 0; 0; 1,75; 0
1,272099;0;1,75, 0; 0; 1,75; 0
1,27376;0;1,75, 0; 0; 1,75; 0
1,275314;0;1,75, 0; 0; 1,75; 0
1,276824;0;1,75, 0; 0; 1,75; 0
1,278381;0;1,75, 0; 0; 1,75; 0
1,279955;0;1,75, 0; 0; 1,75; 0
1,281423;0;1,75, 0; 0; 1,75; 0
1,283021;0;1,75, 0; 0; 1,75; 0
1,284449;0;1,75, 0; 0; 1,75; 0
1,285869;0;1,75, 0; 0; 1,75; 0
1,287286;0;1,75, 0; 0; 1,75; 0
1,288802;0;1,75, 0; 0; 1,75; 0
1,290424;0;1,75, 0; 0; 1,75; 0
1,291941;0;1,75, 0; 0; 1,75; 0
1,293532;0;1,75, 0; 0; 1,75; 0
1,295053;0;1,75, 0; 0; 1,75; 0
